Datum / Uhrzeit,Netzbezug [W],Netzeinspeisung [W],Erzeugung [W],Speicher Beladung [W],Speicher Entladung [W],Verbrauch [W],Ladezustand [%]
01.01.2023 00:00:00 +0200,553,0,0,23,0,525,10
01.01.2023 00:15:00 +0200,876,0,0,23,0,851,10
01.01.2023 00:30:00 +0200,934,0,0,23,0,908,10
01.01.2023 00:45:00 +0200,580,0,0,23,0,561,10
01.01.2023 01:00:00 +0200,705,0,0,22,0,684,10
01.01.2023 01:15:00 +0200,959,0,0,23,0,932,10
01.01.2023 01:30:00 +0200,1472,0,0,23,0,1450,10
01.01.2023 01:45:00 +0200,1185,0,0,23,0,1163,10
01.01.2023 02:00:00 +0200,520,0,0,23,0,497,10
01.01.2023 02:15:00 +0200,503,0,0,23,0,480,10
01.01.2023 02:30:00 +0200,454,0,0,23,0,431,10
01.01.2023 02:45:00 +0200,874,0,0,23,0,853,10
01.01.2023 03:00:00 +0200,463,0,0,23,0,441,10
01.01.2023 03:15:00 +0200,849,0,0,23,0,827,10
01.01.2023 03:30:00 +0200,495,0,0,23,0,471,10
01.01.2023 03:45:00 +0200,483,0,0,22,0,461,10
01.01.2023 04:00:00 +0200,905,0,0,23,0,882,10
01.01.2023 04:15:00 +0200,480,0,0,23,0,457,10
01.01.2023 04:30:00 +0200,791,0,0,22,0,771,10
01.01.2023 04:45:00 +0200,618,0,0,22,0,594,10
01.01.2023 05:00:00 +0200,739,0,0,22,0,717,10
01.01.2023 05:15:00 +0200,773,0,0,22,0,752,10
01.01.2023 05:30:00 +0200,582,0,0,22,0,561,10
01.01.2023 05:45:00 +0200,974,0,0,22,0,953,10
01.01.2023 06:00:00 +0200,647,0,0,22,0,624,10
01.01.2023 06:15:00 +0200,1532,0,0,22,0,1510,10
01.01.2023 06:30:00 +0200,1504,0,0,22,0,1483,10
01.01.2023 06:45:00 +0200,488,0,0,22,0,465,10
01.01.2023 07:00:00 +0200,582,0,0,21,0,558,10
01.01.2023 07:15:00 +0200,633,0,0,23,0,607,10
01.01.2023 07:30:00 +0200,581,0,0,22,0,557,10
01.01.2023 07:45:00 +0200,835,0,0,22,0,814,10
01.01.2023 08:00:00 +0200,517,0,0,22,0,495,10
01.01.2023 08:15:00 +0200,927,0,0,22,0,906,10
01.01.2023 08:30:00 +0200,485,0,0,22,0,463,10
01.01.2023 08:45:00 +0200,977,0,0,22,0,955,10
01.01.2023 09:00:00 +0200,514,0,0,22,0,492,10
01.01.2023 09:15:00 +0200,973,0,1,23,0,951,10
01.01.2023 09:30:00 +0200,647,0,7,22,0,629,10
01.01.2023 09:45:00 +0200,1076,0,30,23,0,1083,10
01.01.2023 10:00:00 +0200,582,0,37,23,0,592,10
01.01.2023 10:15:00 +0200,984,0,60,23,0,1024,10
01.01.2023 10:30:00 +0200,537,0,83,23,0,595,10
01.01.2023 10:45:00 +0200,978,0,143,24,0,1100,
01.01.2023 11:00:00 +0200,,,,,,,
01.01.2023 11:15:00 +0200,,,,,,,
01.01.2023 11:30:00 +0200,,,,,,,
01.01.2023 11:45:00 +0200,,,,,,,
01.01.2023 12:00:00 +0200,,,,,,,
01.01.2023 12:15:00 +0200,,,,,,,
01.01.2023 12:30:00 +0200,,,,,,,
01.01.2023 12:45:00 +0200,,,,,,,
01.01.2023 13:00:00 +0200,,,,,,,
01.01.2023 13:15:00 +0200,105,0,2632,2563,0,202,
01.01.2023 13:30:00 +0200,47,0,2095,1424,0,707,26
01.01.2023 13:45:00 +0200,43,0,1605,953,0,699,31
01.01.2023 14:00:00 +0200,33,0,2223,1542,0,678,33
01.01.2023 14:15:00 +0200,56,0,2601,1954,0,696,39
01.01.2023 14:30:00 +0200,0,14,2133,1652,0,592,43
01.01.2023 14:45:00 +0200,,,,,,,
01.01.2023 15:00:00 +0200,,,,,,,
01.01.2023 15:15:00 +0200,30,0,1106,853,0,278,62
01.01.2023 15:30:00 +0200,53,0,1914,1606,0,262,65
